checkpoint	base	task	seed	comparison	target	off_score	forgetting_gap
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1 minus scalar_e	-1.2195121951219505	-0.3604035545123878	0.006600168108541027
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1 minus scalar_e	-2.439024390243894	-0.10881524101687035	0.1232285890326541
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1 minus scalar_e	-6.0975609756097455	-0.46984931532117	0.18484288354898126
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1 minus scalar_e	2.047005307050796	2.5722557781793185	-0.9462395180167131
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1 minus scalar_e	-0.37907505686125376	-0.5154546988796298	-0.3476436146882046
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1 minus scalar_e	0.15163002274449866	-0.5528689531972617	-0.4927317158131335
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1 minus scalar_e	-1.4787430683918643	-0.0473671484205056	-0.3559009100371782
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	hns_f4_s1 minus scalar_e	1.6635859519408456	0.39470535039977506	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	hns_f4_s1 minus scalar_e	0.9242144177449205	-1.267044065929781	0.0
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	hns_f4_s1 minus scalar_e	-0.6097560975609753	-0.3149977197847562	0.0
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	hns_f4_s1 minus scalar_e	-2.439024390243901	0.36028103252246524	0.0
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	hns_f4_s1 minus scalar_e	-3.0487804878048763	-0.3561927405014558	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	hns_f4_s1 minus scalar_e	1.213040181956032	1.5404525015968318	-0.4065040650406502
Qwen3-8B/metamath/seed43	Qwen3-8B	metamath	43	hns_f4_s1 minus scalar_e	0.6823351023502653	2.2617379909076476	0.0
Qwen3-8B/metamath/seed44	Qwen3-8B	metamath	44	hns_f4_s1 minus scalar_e	1.9711902956785394	1.3915800115172061	-1.0162601626016279
Qwen3-8B/tulu/seed42	Qwen3-8B	tulu	42	hns_f4_s1 minus scalar_e	-2.218114602587818	1.2322048174525833	0.0
Qwen3-8B/tulu/seed43	Qwen3-8B	tulu	43	hns_f4_s1 minus scalar_e	0.7393715341959393	-0.5262913570663841	0.0
Qwen3-8B/tulu/seed44	Qwen3-8B	tulu	44	hns_f4_s1 minus scalar_e	-0.5545286506469438	0.5601408018256961	0.0
Llama-3.1-8B-Instruct/magicoder/seed42	Llama-3.1-8B-Instruct	magicoder	42	hns_f4_s1 minus flat_e	1.8292682926829258	0.4250569839206122	-0.1470686088890265
Llama-3.1-8B-Instruct/magicoder/seed43	Llama-3.1-8B-Instruct	magicoder	43	hns_f4_s1 minus flat_e	-2.439024390243894	-0.07766947528938317	0.36968576709796497
Llama-3.1-8B-Instruct/magicoder/seed44	Llama-3.1-8B-Instruct	magicoder	44	hns_f4_s1 minus flat_e	-1.2195121951219505	0.08420427237372508	0.0
Llama-3.1-8B-Instruct/metamath/seed42	Llama-3.1-8B-Instruct	metamath	42	hns_f4_s1 minus flat_e	-0.3032600454889973	0.7466589331483746	-0.543406900628052
Llama-3.1-8B-Instruct/metamath/seed43	Llama-3.1-8B-Instruct	metamath	43	hns_f4_s1 minus flat_e	0.37907505686126797	0.4458464478337376	-0.24645717806531073
Llama-3.1-8B-Instruct/metamath/seed44	Llama-3.1-8B-Instruct	metamath	44	hns_f4_s1 minus flat_e	0.07581501137225644	0.5579707322573313	-0.3696857670979625
Llama-3.1-8B-Instruct/tulu/seed42	Llama-3.1-8B-Instruct	tulu	42	hns_f4_s1 minus flat_e	0.18484288354898126	0.4249760991291396	0.007878305229913452
Llama-3.1-8B-Instruct/tulu/seed43	Llama-3.1-8B-Instruct	tulu	43	hns_f4_s1 minus flat_e	1.6635859519408456	-0.1373571237870408	0.0
Llama-3.1-8B-Instruct/tulu/seed44	Llama-3.1-8B-Instruct	tulu	44	hns_f4_s1 minus flat_e	-0.18484288354898126	0.1590583015327951	0.0
Qwen3-8B/magicoder/seed42	Qwen3-8B	magicoder	42	hns_f4_s1 minus flat_e	-0.6097560975609753	-0.071511784568429	0.0
Qwen3-8B/magicoder/seed43	Qwen3-8B	magicoder	43	hns_f4_s1 minus flat_e	-0.6097560975609753	0.35618906994716326	0.0
Qwen3-8B/magicoder/seed44	Qwen3-8B	magicoder	44	hns_f4_s1 minus flat_e	-0.6097560975609753	-0.03482390986738437	0.0
Qwen3-8B/metamath/seed42	Qwen3-8B	metamath	42	hns_f4_s1 minus flat_e	-0.07581501137225644	0.7488583402982698	0.0
